Hello, I need to change my address.	
I need to tell you that we are traveling and can’t find how to do that on the app.	
.	
how do i unlock a customer	Commercial Loans, Online Accounts
There is a Pending Charge for $1,000.00 is it possible to cancel the Charge.  No one on my account made the Charge.	Cash Management, Debit Cards
I just changed my password a couple days ago I do not know my log in ID	Online Accounts
I need to enroll to an online banking.	
Thank you	
I am trying to do a mobile deposit but can't find the button th select it on the app.	Cash Management, Retail Banking
Hi Andy, I am trying to find out if it is possible to send an electronic fund to another bank account of mine. Or is this something I would need to come in the office to do?	Cash Management, Accounts
Email customer service	Vehicle Loan
Hello	
Reset login and password	Online Accounts
How do I deposit a check	Cash Management, Retail Banking
Is there a check pending in my account?	
Yes I can't see my accounts	
We are now being charged a $5 service fee and would like to know why	Vehicle Loan
I am trying to set up funds transfer but it keeps deleting the account I want to transfer in to.	
My lawyer is trying to take money out of my account and it’s not working what can the problem be	
Hi. Do any of the branches have a coin machine?	Cash Management
I’m trying to log in to my account but a security verification screen with a phone number came up but I need to edit the number to receive a text	Fraud, Marital Status, Commercial Loans, Security Messages
How much cash can I deposit at a atm	Cash Management, Retail Banking
New log in	
Why doesn’t it show my transactions on my account	
Routing and account numbers	
Im having issues transferring funds as I do every month from my AIQFinancial account to an external account	Vehicle Loan, Marital Status
Hi there! I need some help with…	
I need to add a card to my online account	Vehicle Loan
I haven’t gotten any alerts and still have money in my balance	Fraud
how do i set up an automatic Morgage payment?	
I am wanting to get a card for the savings account and smaller secondary account I am joint on.	Vehicle Loan, Accounts
I went by  my local AIQFinancial bank downtown and received my account log in info.  I came home and have tried to log in twice, but my account has been locked and I can't log in.	Commercial Loans, Online Accounts, Home Loans
Hi there! I need some help with…\n\nHow can I reset my PIN number on my debit card or get a new one?	Vehicle Loan, Debit Cards, Retail Banking
I’m locked out my mobile app	Commercial Loans, Online Accounts
Hi there! I need some help with… passcode	
Hi there! I need some help with	
ATM deposits	Cash Management, Retail Banking
Ineed to see if my bank card is at the 31st st branch I left it in there late yesterday	Vehicle Loan
how do i change the phone number associated with my accounts	
add money to an account to open it	
Hi there! I need some help with Getting back into my checking account has been locked out	Commercial Loans, Online Accounts, Accounts
Hi there!  I need to get a replacement card for my husband	Vehicle Loan, Commercial Loans, Debit Cards
Instructions about how to manage automatic payments any transfers	
The Reference Number for this deposit is 000000	Cash Management, Retail Banking
Account balance	
Hi there! I need some help with a direct deposit	Cash Management, Retail Banking, Accounts
There’s a charge on my account I didn’t approve	
is there a way to transfer funds to my husbands account on the app?	Commercial Loans
I need to reset my password. I am locked out.	Commercial Loans, Online Accounts
I was just curious how easy it would be to get a small like 300$ loan	
I’m buying a car and putting 4000 down. Will it be declined for a daily limit?	Vehicle Loan, Credit Card, Debit Cards, Retail Banking
Do I have overdraft protection on my checking account?	Accounts
64 x 139	
Deposit check issues	Cash Management, Retail Banking
I need to be about a loan i applied for on the 6th of this month	
I need a payoff address for an auto loan	Personal Loans, Vehicle Loan
I know that your mobile banking has been down for the past few days.  I couldn't log on to see my account.  I got an overdraft fee that I'd like to be reversed.  I know you allow one per year.  I haven't had any reversed.	Accounts
update address	
Hi there! I need some help with unlocking my online account	Commercial Loans, Online Accounts
Good morning	
I applied for a personal checking account but don’t have an account number or login yet	Accounts
Fraudulent Charge on card	Vehicle Loan, Fraud
Fraud concern	Fraud
I am at Walmart in temple Texas, I lost my wallet with my banking card in it. Please cancel the credit card. My name is Janie Rodriguez last 4 # of my social security ai 7790. I will go by the bank on Monday. Mean while can you turn my card off.	Vehicle Loan, Fraud, Marital Status, Commercial Loans, Credit Card, Payments, Security Messages
Mobile deposit	Cash Management, Retail Banking
My son is 16 and wants to open his own checking account	Children and Savings, Accounts
Hello, I'm locked out of my account.	Commercial Loans, Online Accounts
Trying to make a mobile check deposit. It keeps telling me that I need camera permissions. How do I get that	Cash Management, Retail Banking
checking account	Accounts
I need to unlock my debit card	Vehicle Loan, Commercial Loans, Debit Cards, Retail Banking, Online Accounts
i need to change my address	
Would like to talk about my financial situation and need to buy a car	Vehicle Loan
Hey, can i update my address on the app or do I have to come in the office?	
How do I go about setting up a CD as a current AIQFinancial customer?	Investing
I would like to do a video chat please.	
Hi there! I need some help. I was charged for two over draft fees at one time. Can you tell me why that happened?	Accounts
Someone else is using my card that is not me	Vehicle Loan
Hi there! I need some help with…	
Good morning. I just spoke with a rep named Jacob, please confirm if any returned automated payment around 9 sep 29, 2022 for 296.00	
Hello, I ordered checks 10 days ago and they have not yet been delivered.  Are you able to help me track the shipment?	
i dont see my acct when i log in	
Hello. I’m trying to find the interest rate on my auto loan and remaining balance	Vehicle Loan, Credit Card
trying to check my accounts but does not recognize my compute	
How can I deposit a check using the app?	Cash Management, Retail Banking
I set up a payment to M&T bank. M&T is showing the payment but it has not deducted from the checking account yet. When should I expect to see the monies removed from the account?	Marital Status, Accounts
Hi! I'm looking to change the residential address on my account, but I can't seem to locate how to do so on the app.	Commercial Loans
I need a copy of my 2022 Interest statement for taxes	Statements, Tax Information
Stop payment	
needing my business account unlocked	Commercial Banking, Commercial Loans, Online Accounts
How. Can I deposit a check by picture on the app, my account is set up for it	Cash Management, Retail Banking
Hi there! I need some help with…logging into my account	
i don't know my id to update my password	Online Accounts
How much do you charge for Verification of Deposit?	Cash Management, Retail Banking
I am buying a storage shed and I tried to use my debit card today for the amount of over four thousand dollars. It was declined. What do I need to do?	Vehicle Loan, Credit Card, Debit Cards, Retail Banking
Hello	
Need to start an account online for a student.	College/Independence
Zelle?	Payments
Hello I have a question about writing a check	
Hi there! I need some help with…\nI have a question about a charge to my account	
How do I set up E statements for my newly opened savings account?	Vehicle Loan, Statements, Accounts
How much to open a checking account	Accounts
I am trying to find my current balance on the mobile app	
Hi there! I need some help with recovering my online user ID and password. I also need to update the bank my auto loan payment comes from.	Vehicle Loan, Online Accounts
Returns and refund	
Hi!  When I’m filling out a direct deposit form should I include the three zeroes before my account number?	Cash Management, Retail Banking, Accounts
I got text message from xxx-xxx-1331	Marital Status
Hello, I have an issue with my account. It shows I have money in the account but whether it’s online or on my card it declines as it would if I don’t have money	Vehicle Loan, Debit Cards
Hi there! I need some help with… I deposited my check but it isn't in my account	Cash Management, Retail Banking
I had a cash app deposit yesterday that has not posted	Cash Management, Payments, Retail Banking
Hello, I need to update my email address and I do not see a place to do so after I log int my account. DO I need to call?	
i want to cancel my subscription	
I don’t have the option to deposit a check on my app	Cash Management, Retail Banking
Can I deposit a check with the new app?	Cash Management, Retail Banking
Wire transfer requirements	Commercial Banking, Retail Banking
I need a new debit card	Vehicle Loan, Debit Cards, Retail Banking
I’m having trouble depositing a check	Vehicle Loan, Cash Management, Retail Banking
How can I get my statement online?	Statements
I am closing out my account	
Mobile deposit	Cash Management, Retail Banking
How do I deposit check in app?	Cash Management, Retail Banking
I am trying to set up an automatic insurance payment for my mother-in-law.   I have the bank Routing number but need to confirm my account #.  Jerald Brunson Debit card number xxxx xxxx xxxx 3162	Vehicle Loan, Debit Cards, Children and Savings, Retail Banking
Hi there! I need some help with…	
Hi there! I need some help with…unlocking online account	Commercial Loans, Online Accounts
Hi there! I need some help with… stopping payment on my mortgage loan.	Home Loans
Where do I find my account number	
I am at an AIQFinancial bank ATM. I wanted to withdraw $500. The screen on the machine is stuck. It's telling me to remove my money, but the slot where the $ comes out isn't opening!	Cash Management, Commercial Loans, Retail Banking
Hello! - Question: How can I see the front and back sides of my deposit slips now? I need them!	Cash Management, Retail Banking
I am locked out and need to be reset..Thanks	Commercial Loans, Online Accounts
y’all are a very good bank	
Disputing charge already talk to a gentleman he told me to email my talk I had with a motel	
Why is my card off	Vehicle Loan
Unlock login	Commercial Loans, Online Accounts
Cancel a payment	
How do I make a mobile deposit in the app?	Cash Management, Retail Banking
Y can’t I pay a bill for 3500.00 with my debit card	Vehicle Loan, Debit Cards, Retail Banking
Hi there! Do you send messages to customers how our banking needs are and to recommend you?	
I am locked out of my account.  Can you please unlock it?	Commercial Loans, Online Accounts
I placed an ATM deposit last night for $132.69 and withdrew $80.00 both from the location on N. Main in Belton.  I am not seeing this on my activity.  I did receive a receipt showing it did going to my account.  I just wanted to verify this withdraw and deposit.	Cash Management, Commercial Loans, Debit Cards, Retail Banking
Can you tell me the approx. cost of a $21,370 wire transfer to a company in Canada?	Commercial Banking, Retail Banking
Hello I trying to connect my account to Zelle but it says my bank info don’t match. Does AIQFinancial banks allow me to connect with it?	Payments
Make a payment	
I locked myself out of my login and having trouble logging back in	Vehicle Loan, Commercial Loans, Online Accounts
search check number	
I work for the Indiana Department of Workforce Development. I'm a fraud Investigator and our agency would like to know where to send subpoenas to?	Fraud, Investing
Hi there! I need some help with… my account is locked!	Commercial Loans, Online Accounts
Hi there! I need some help with…	
I’m considering opening an account with your establishment. I’m new	
Why won’t my debit card link to my cash app	Vehicle Loan, Payments, Debit Cards, Retail Banking
Received multiple security alerts over the weekend about failed attempts to login and I was not logging in. Now I am locked out of my account.	Fraud, Commercial Loans, Security Messages, Online Accounts
Lock myself out of personal account	Commercial Loans
I️ need to increase daily spend limit on business debit card	Vehicle Loan, Commercial Loans, Debit Cards, Retail Banking
I have 2 overdrafts of $35. Each. I don’t have overdraft protection. I don’t want overdraft protection. I was -1.15 and u charge me a $35. Fee?	Cash Management, Accounts
Account not accepting instant deposit from cash app	Cash Management, Payments, Retail Banking
Where can I find my desposit limit	Cash Management
My account is locked	Commercial Loans, Online Accounts
Good morning I was overdrawn yesterday  over $200. Why is it only overdrawn $12 today?	Debit Cards
How do I make a mobile deposit	Cash Management, Retail Banking
Hi there! I need some help with… I need to reset my password but I don't know my user ID	Online Accounts
Hi there! I need some help with…making a payment for my auto loan.  Is it possible to do this from the AIQFinancial bank app?	Vehicle Loan, Cash Management
I received  a new card however the automated system will not allow me to activate it. I have discussed this with a live representative without any resolution.i keep getting advice to try again	Vehicle Loan, Home Loans
Thank you it worked	
Hi! Do You have a direct number for the Trust Department?	
2 questions--are you still holding to the 6 withdrawals from savings account. Q. How do I make a wire transfer to another bank?  Thanks	Commercial Banking, Vehicle Loan, Retail Banking, Accounts
Hi there! I need some help with…payoff on a loan	Personal Loans
Hi there! I need some help with…transfer from my account to my mothers	
Does AIQFinancial provide medallion signatures?	
How many numbers are in a checking account number?	Accounts
Hello. My online account is locked up.	Commercial Loans, Online Accounts
Hi there! I need some help with…sent money via Apple Pay, the receiver is being asked to provide the full social security number for verification confirmation... is this right? Safe?	Fraud, Payments, Security Messages
I am contemplating selling my car that still has a loan.  based on the value it has positive equity.  What do I need to do to execute a private party sale.	Vehicle Loan, Cash Management, Marital Status, Home Loans
Tax statement	Statements, Tax Information
trying to start online banking	
I have a transaction that I did not approve go through paypal	Cash Management, Payments
Hi there! I need some help with my debit card. I tried to use it and was told it was deactivated. Why?	Vehicle Loan, Credit Card, Debit Cards, Retail Banking, Home Loans
What is the compounding on the 8% CD?	Investing
1098	
I am trying to set up download to Quicken.  It says to set up by coming to online service. Can you tell me where?	Vehicle Loan
What is the max for a mobile deposit check?	Cash Management, Retail Banking
Looking for a 1098 form for my mortgage	Home Loans
I can't remember my password to get onto my online banking. I want to reset it but I have to have this password to set up a new one	Online Accounts
address change	
On October 12, 2022, a scammer attempted to bezel money from me by sending me a false check from PlayStation Studios. He posed as a Job recruiter from PlayStation and sent me a statement with your logo, address, and routing number.	Cash Management, Statements, Retail Banking
talk to relationship banker	
Do you notice a fraud alert on our account for 16.32 on 7/10?	Fraud, Children and Savings, Home Loans
What's your overnight payoff address for auto loan	Personal Loans, Vehicle Loan
Can I not deposit a check on the app	Cash Management, Retail Banking
Closing account	
Can I write a check and sign it over to somebody else to purchase items	
Online banking	
I am trying to file my taxes for 2022 and I need some info on the 1098 Mortgage loan. How can I get that info.??	Home Loans, Tax Information
Hi	
Hi there! I need some help with…resetting my password	Online Accounts
1000$ dollars was taken out of my account but the transaction is not shown	
Why is my account	
Need to unlock my acc	Commercial Loans, Online Accounts
Stop payment	
I was trying to log-in using an old password and am now locked out. I remembered the new password, so is it possible to try again?	Cash Management, Commercial Loans, Online Accounts
Reset password	Online Accounts
a block that I'm in control of as a customer is beyond me. This is easily the 3rd time I've mentioned this! Leave my card ALONE...as well as any access unless I make the full and capable decision to do so as I wish! I am terribly annoyed with this and other issues at this point! There is not a reason in the world that empowers you to control	Vehicle Loan, Commercial Loans
Hello	
I need assistance with online banking	
Hey I was just checking on the status of a one-time courtesy credit that I had an overdraft fee last week	Commercial Loans, Accounts
Is there any way I can get my debit card # on here?	Vehicle Loan, Debit Cards, Retail Banking
my online ebank id is locked	Commercial Loans, Online Accounts
I received a message that I need to update my password but I can’t remember my old password in order to change it.	Online Accounts
I'm needing to get a debit card for this account. Can I request one here?	Vehicle Loan, Debit Cards, Retail Banking
What is needed for me to send a bank wire?	Retail Banking
Hi there! I need some help with…resetting password for online banking app	Online Accounts
Dispute charges	Fraud
Can I make a deposit on this app?	Cash Management, Retail Banking
Hi - i am currently locked out of my account... need access please	Commercial Loans, Online Accounts
I cannot find a way to	
Wanting to open an IRA account do you offer this service it took rollover	Vehicle Loan, Retirement Planning, Investing
Close account	
I need to get my account unlocked, but I don't have my checking account number with me.	Commercial Loans, Online Accounts, Accounts
How can I cancel my money market account?	
I need to reset my password for online login.	Online Accounts
I'm trying to allocate funds from my eBay account to my AIQFinancial checking account. In order for me to verify my bank account with them I need to deposit/withdraw two micro-deposits or login using their website( third-party login). Ebay says my bank account does not allow micro-deposits and 'maybe' not third party login. is this true?	Cash Management, Commercial Loans, Retail Banking, Accounts
None of the above. I have an issue I need to speak with a human on the phone about.	
Need a live assistant	
I just got a new job and would like a void check to give my employer for pay.	
How do I Scan a check	
Why hasn't my direct deposit gone into my account	Cash Management, Retail Banking, Accounts
I am unable to load a card to my cash app. I'm trying to deposit money to my account through cash app.	Vehicle Loan, Cash Management, Payments, Retail Banking
Loan department	
How can I open an account on-line	Accounts
where is the link to make a mobile deposit, we are enrolled but there is no link	Cash Management, Retail Banking
Hi there! I need some help with login into my bank app… I updated the app and didn’t realize that I would have to enter all my credentials again… could you help with this matter	Commercial Loans
I need direct deposit set up	Cash Management, Retail Banking, Accounts
Hello	
Direct deposit	Cash Management, Retail Banking, Accounts
Hi there! I need some help with…	
notary	
Hi there! I need some help with…loging into my app	
Need account number	
Locked	Commercial Loans, Online Accounts
I received a charge on my card and I am not sure what this is and I want it removed now.	Vehicle Loan
I am missing a deposit for 144.71 should have been around Christmas	Cash Management, Retail Banking
How can I stop paper statements from being sent?	Statements
Hi there! I need some help with a transaction I do t recognize	
When will the $7000 check I deposited yesterday be available to use?	Cash Management, Retail Banking, Home Loans
Rick Clark Expo 2022	Marital Status
I need my account unlocked	Commercial Loans, Online Accounts
Hi there! I need some help with…	
Hello! What are your current construction loan rates?	Commercial Loans, Home Loans
I forgot my login and password.	Online Accounts
I cant login to my account on my app ive changed my number with yall however it needs to send me a text so i can log in but its trying to send it to my old phone number	Marital Status
amount of interest paid on mortages	
My card not working	Vehicle Loan
How do I change my address?	
Hi there! I need some help with…a random charge to my bank account, I have no idea where it came from.	Accounts
Hi there! I need some help with my account is locked out?	Commercial Loans, Online Accounts
Hi there! I need some help with…mobile banking	
My account is locked and I just opened ir	Commercial Loans, Online Accounts
Hello, I was wondering if maybe y'all have stopped allowing me to deposit money on prize picks app? It told me to contact my bank	Cash Management, Retail Banking
Report fraud	Fraud
Where do i find my routing number	Retail Banking
Hi there! I need some help with… I recently applied for a checking account?	Accounts
Hello. I submitted a deposit on my mobile app. I had to redo the pictures A LOT but it finally said it was accepted. Then I got an email saying it was rejected and referenced #000000. Can you tell me why it was rejected??	Cash Management, Retail Banking
im locked out of my account in the app	Commercial Loans, Online Accounts
How do I do mobile deposit	Cash Management, Retail Banking
live agent	
We just opened 3 kid basic checking accounts and are unable to set them up online without getting an invalid information message. I am also supposed to be able to see their accounts on mine as well.	Cash Management, Children and Savings, Home Loans, Accounts
Hi there! I need some help with…	
Hi there! I need some help with…Do y'all have a notary at the downtown Temple location?	Commercial Loans
I am trying to transfer from my External account to my internal checking. I am receiving an error that says I am over my transaction limit?	Vehicle Loan, Marital Status
you there still?	
Im locked out of my app	Commercial Loans, Online Accounts
Checks	
