Get a loan	loan
I've been locked out of my online banking account and it told me to contact customer support for a password reset.	password reset, online banking, ve locked, support, told contact
ATM max withdrawal	atm max, max withdrawal, withdrawal, max, atm
Are the banks not open til 18th?	banks open, til 18th, open, open til, til
What is going on with my account it say 0.00 why please	account say, say 00, say, going
How do I make a mobile check deposit?	check deposit, mobile check, make mobile, check, make
Change password	change password, password, change
What is your routing number?	routing number, routing, number
I would like to dispute a charge of 12.95 on 6/25 on my previous card. I have already cancelled my previous card and have been issued a new one.	dispute charge, card cancelled, 12 95, issued new, like
Hello can you pull a specifiz	pull specifiz, specifiz, pull, hello pull
My funds transfer will not go thru	funds transfer, transfer, funds
Hello I was just seeing how I’m in a negative if yesterday I deposited a check for 411.00	deposited check, 411 00, negative yesterday, hello just, seeing
I can’t sign in	sign
i would like to try and stop a payment that is pending on my account	stop payment, pending, stop, like try
do you finance motorcycles?	finance motorcycles, motorcycles, finance
I need to setup pin to my debit card	setup pin, debit, card, need setup
Zelle	zelle
I would like to pay off a loan with a check that has to be mailed to Extra co banks. Where do mail the check and to whose attention? Also, how do I get my loan number. I cannot get into an account.	loan check, banks mail, number account, mailed extra, like
who is AIQFinancial's Merchant Service Provider, as in who processes credit card funds for AIQFinancial	aiqfinancial merchant, card funds, credit, provider processes, service
Hello
What is the daily transaction  limit amunt	transaction limit, daily transaction, limit amunt, daily, amunt
Hello! I’d like to utilize the mobile check deposit feature, but I’m having trouble finding it on the Home Screen or on my side menu. When I go to settings to enroll it says that I’m currently enrolled. I may be too tired to be literate, so let me know if the mobile deposit button has moved and I’m just missing it!	mobile deposit, currently enrolled, menu settings, finding home, literate let
My online banking account is locked	account locked, online banking, banking account, online
Hi! I just wanted to open a savings account	savings account, open savings, wanted open, hi just
Hello I would like to know the status of my application	status application, application, know status, like know
I need to reset my passcode for the banking app.  I locked myself out.	reset passcode, passcode banking, app locked, banking app
wire transfer	wire transfer, wire, transfer
Hello, it’s Alisha 😊 I’m off today but I’m wanting to transfer money from one of my savings accounts to my moms bank at Astound. What’s the best way for me to do that instantly where there isn’t a day wait?	moms bank, wanting transfer, best way, alisha today, instantly isn
Good morning just received a paycheck from job need assistance with depositing online	depositing online, paycheck job, just received, need assistance, good morning
telling me a joke	telling joke, joke, telling
My account has been locked.  I need to reset my password.	reset password, need reset, locked
I’m trying to put funds thru my app. I can’t figure it out.	funds app, app, app figure, trying, figure
Need to speak with the person in charge of Temple Fire's pension	temple pension, temple, speak person, charge
Deposit check via phone	deposit check, deposit, check phone, check, phone
I had an issue that I reported at 4:45 P.M. yesterday. I was at the Harker Heights ATM in the bank parking lot. I deposited 2 checks. The machine had an error and the checks did not process. I am trying to get an update on this issue.	deposited checks, machine error, did process, yesterday harker, parking lot
I have a question about transferring money from a AIQFinancial bank account to a different bank?	aiqfinancial bank, different bank, question transferring, different
How do you do a wire transfer	wire transfer, transfer, wire
I just received an email saying I logged into my account at 8:53 am and I didn't log in at that time. I'm concerned	log time, email saying, concerned, just received, 53 didn
Hi,
Can i have Access to deposit a check through the app	check app, deposit check, access deposit, access, check
Can you please verify why my account balances are both at zero?	balances zero, account balances, verify account, zero, verify
reset password	reset password, password, reset
Is my card active?	card active, active, card
Testing chat.	testing chat, testing, chat
I'm trying to access my account to pay bills, but I've forgotten my user name.	forgotten user, access account, pay bills, trying, ve
i am not able to use wire transfer	wire transfer, use wire, wire, transfer, able use
Where can I unlock my account at>	unlock account, unlock
I need the 2022 Form 1099-INT	form 1099, need 2022, form, int
pheonix properties	pheonix properties, pheonix, properties
Zelle	zelle
please reset my password on the webpage?	reset password, password webpage, password, reset, webpage
Dispute charges	dispute charges, charges, dispute
Good afternoon. How do I change my address and start using Gmail for statements	gmail statements, change address, using, afternoon change, start
Huh my daughter is stuck at one of your locations	stuck locations, daughter stuck, locations, huh daughter, huh
Hi there! I need some help with my login for AIQFinancial….I am entering the correct information but it won’t let me rest my password	login aiqfinancial, let rest, correct information
Live chat	live chat, chat, live
Hi there! I need some help with...the title to my car.\nYOUR employee sent the clear title for my car to Montief Title instead of me.\nAs it turns out, they lost it!\nI received a “lien release “ from Gina, I called & asked what I was supposed to do with it, she advised me to go to the DMV & get a new title.  I went to the local DMV, waited for 2 hours to be told that I have to go to the Waco or Austin office and APPLY, or that I could do the application by mail!!  I’m SO angry!  I didn’t make this mistake YOU did!  Now I’m supposed to be the one going through all of this shit??  I don’t think so, I suggest that YOU send one of YOUR employees to the local office and get this resolved & immediately mail MY title to ME!  I’ve NEVER been told so much crap nor am I willing to be put out anymore than I have been!	received lien, clear title, apply application, advised dmv, waco austin
Where can a change of address be done	change address, address, change
Dispute transaction	dispute transaction, transaction, dispute
Hi there! I need some help with…	need help, hi need
Estaments	estaments
Hi there! I need some help with…knowing the amount I still owe on my car loan	car loan, owe, hi need, knowing
I received a notice that my debit card did not work on a computer payment at dell.  Its on my brad glasson enterprise	payment dell, notice debit, card did, brad glasson, enterprise
Can I make a WIRE or ACH transfer from my checking account to another person’s BANK OF AMERICA checking account?	ach transfer, make wire, america checking, person
Hi, how would I go about making a ACH?	making ach, ach, making, hi making
Hi there! I need some help with…	need help, hi need
I need to speak with someone regarding a full hold on a check deposited	hold check, deposited, speak, regarding
cds	cds
pay off on my loan	pay loan, loan, pay
Banker	banker
How do I locate my routing number	routing number, locate routing, routing, locate, number
I need a direct deposit form for my account	deposit form, form, direct
2021 Tax Statement	2021 tax, tax statement, tax, 2021, statement
I just set up my checking account yesterday but now it won't let me enroll for online banking	enroll online, banking, set checking, yesterday won, just
My login has been locked out and I can’t undo it	login locked, locked undo, login, locked, undo
Cannot find my savings account on app	savings account, account app, app
Hi there! I need some help with…my online banking login and password reset	banking login, password, reset, help online
Hello. I am reporting a lost debit card.	debit card, lost debit, reporting lost, lost
Looking for an internal certificate of trust form for customer to complete	internal certificate, trust form, form customer, customer complete, looking
I am trying to order dog food and I keep getting payment authorization failed - why? It's for Pet Supply Plus in the amount of $37.28	payment authorization, dog food, trying order, plus, 37 28
Why is my debit card being declined	card declined, debit card, debit, declined, card
Hi there! I need some help with trying to figure out my daily spending limit on my debit card because I'm going to be buying a printer today and I need to know if I buy it then the transaction will go through.	debit card, buying printer, limit, figure daily
What are the current interest rates on unsecured personal loans?	personal loans, rates unsecured, current rates, unsecured, personal
There was a online transaction to Sam's that I did not do.  So I need to start a fraud to get this straightened out.  I have canceled my card  already.	transaction sam, fraud, straightened canceled, online, start
How do I deposit a check on the phone	deposit check, deposit, check phone, check, phone
Where can I find a list of your mortgage lenders at Georgetown address	lenders georgetown, list mortgage, georgetown address, address, list
Hi there! I need some help with…	need help, hi need
Where do I find the routing number for my branch?	routing number, number branch, branch, routing, number
I need to delete a recurring payment from Bill pay and there is no delete button.	pay delete, need delete, recurring, button
I need to close my account. Is there a way to do this online?	close account, account way, online, need close, way
Yes I would like to know why the damn check I deposited 10 days ago still has not cleared??? I’m overdrawn now because y’all want to hold my check	check deposited, cleared overdrawn, 10 days, hold, know damn
Hi there! I need to increase my daily spending limit to 5000 dollars for today I'm going to buy a ring and I to increase my limit for today	ring increase, limit 5000, daily spending, going, hi need
How to apply for a loan	apply loan, loan, apply
Deposit a check	deposit check, deposit, check
Add someone to bank account	add bank, bank account, add
i need to transfer money out of a trust accout	transfer money, money trust, trust accout, need transfer
I need to raise my deposit limit. I work nights and getting to the bank during business hours is a nightmare	deposit limit, getting bank, business hours, raise, nightmare
reporting a loan officer	reporting loan, loan officer, loan, reporting, officer
I lost the chat about adding another account to my login.	lost chat, chat adding, adding account, login, lost
Mortgage payment	mortgage payment, mortgage, payment
Hi there! I need some help with…logging into the app	logging app, app
Hello, I need to change my address.	change address, address, change
I need to tell you that we are traveling and can’t find how to do that on the app.	traveling app, app, tell traveling, need tell
.
how do i unlock a customer	unlock customer, unlock, customer
There is a Pending Charge for $1,000.00 is it possible to cancel the Charge.  No one on my account made the Charge.	cancel charge, pending, 000 00, possible
I just changed my password a couple days ago I do not know my log in ID	changed password, log id, just changed, days ago, just
I need to enroll to an online banking.	online banking, enroll online, need enroll, online
Thank you
I am trying to do a mobile deposit but can't find the button th select it on the app.	deposit button, select app, mobile, button th, trying
Hi Andy, I am trying to find out if it is possible to send an electronic fund to another bank account of mine. Or is this something I would need to come in the office to do?	electronic fund, account need, possible send, come office, hi andy
Email customer service	email customer, email, customer service, customer, service
Hello
Reset login and password	reset login, login password, login, reset, password
How do I deposit a check	deposit check, deposit, check
Is there a check pending in my account?	check pending, pending account, check, pending
Yes I can't see my accounts	yes accounts, accounts, yes
We are now being charged a $5 service fee and would like to know why	service fee, charged service, service, charged, like know
I am trying to set up funds transfer but it keeps deleting the account I want to transfer in to.	funds transfer, keeps deleting, account want, trying, set
My lawyer is trying to take money out of my account and it’s not working what can the problem be	lawyer trying, account working, money account, trying money, working problem
Hi. Do any of the branches have a coin machine?	branches coin, coin machine, hi branches, machine
I’m trying to log in to my account but a security verification screen with a phone number came up but I need to edit the number to receive a text	verification screen, edit number, log account, receive text, came
How much cash can I deposit at a atm	deposit atm, cash deposit, deposit, cash, atm
New log in	new log, new, log
Why doesn’t it show my transactions on my account	transactions account, transactions, doesn transactions, doesn
Routing and account numbers	routing account, account numbers, routing, numbers
Im having issues transferring funds as I do every month from my AIQFinancial account to an external account	aiqfinancial account, issues transferring, funds month, external, im having
Hi there! I need some help with…	need help, hi need
I need to add a card to my online account	card online, add card, online account, need add
I haven’t gotten any alerts and still have money in my balance	alerts money, gotten alerts, balance, haven gotten, money
how do i set up an automatic Morgage payment?	morgage payment, payment, automatic morgage, set automatic, set
I am wanting to get a card for the savings account and smaller secondary account I am joint on.	savings account, secondary account, wanting card, smaller secondary, joint
I went by  my local AIQFinancial bank downtown and received my account log in info.  I came home and have tried to log in twice, but my account has been locked and I can't log in.	account locked, bank downtown, log twice, local aiqfinancial, info came
Hi there! I need some help with…\n\nHow can I reset my PIN number on my debit card or get a new one?	reset pin, number debit, card new, nhow
I’m locked out my mobile app	locked mobile, mobile app, app, mobile, locked
Hi there! I need some help with… passcode	help passcode, passcode
Hi there! I need some help with	need help, hi need
ATM deposits	atm deposits, deposits, atm
Ineed to see if my bank card is at the 31st st branch I left it in there late yesterday	card 31st, st branch, ineed bank, yesterday, left late
how do i change the phone number associated with my accounts	change phone, associated accounts, phone number, number, change
add money to an account to open it	money account, add money, account open, money, add
Hi there! I need some help with Getting back into my checking account has been locked out	account locked, getting checking, getting, hi need
Hi there!  I need to get a replacement card for my husband	replacement card, card husband, need replacement, husband, hi need
Instructions about how to manage automatic payments any transfers	automatic payments, transfers, automatic, instructions, manage
The Reference Number for this deposit is 000000	deposit 000000, number deposit, reference number, number, reference
Account balance	account balance, balance
Hi there! I need some help with a direct deposit	direct deposit, help direct, hi need
There’s a charge on my account I didn’t approve	charge account, didn approve, charge, account didn
is there a way to transfer funds to my husbands account on the app?	husbands account, transfer funds, way transfer, app, way
I need to reset my password. I am locked out.	reset password, password locked, need reset, locked
I was just curious how easy it would be to get a small like 300$ loan	300 loan, easy small, just curious, like, just
I’m buying a car and putting 4000 down. Will it be declined for a daily limit?	4000 declined, buying car, limit, daily, putting
Do I have overdraft protection on my checking account?	overdraft protection, overdraft, checking account, protection checking
64 x 139	64 139, 139, 64
Deposit check issues	deposit check, deposit, check issues, check, issues
I need to be about a loan i applied for on the 6th of this month	loan applied, need loan, applied 6th, 6th month
I need a payoff address for an auto loan	payoff address, auto loan, need payoff, address auto
I know that your mobile banking has been down for the past few days.  I couldn't log on to see my account.  I got an overdraft fee that I'd like to be reversed.  I know you allow one per year.  I haven't had any reversed.	mobile banking, overdraft fee, haven reversed, couldn log, allow year
update address	update address, address, update
Hi there! I need some help with unlocking my online account	unlocking online, online, need help
Good morning	good morning, morning, good
I applied for a personal checking account but don’t have an account number or login yet	account number, login, applied personal, don
Fraudulent Charge on card	fraudulent charge, charge card, fraudulent, card, charge
Fraud concern	fraud concern, fraud, concern
I am at Walmart in temple Texas, I lost my wallet with my banking card in it. Please cancel the credit card. My name is Janie Rodriguez last 4 # of my social security ai 7790. I will go by the bank on Monday. Mean while can you turn my card off.	card cancel, walmart temple, bank monday, social security, janie
Mobile deposit	mobile deposit, deposit, mobile
My son is 16 and wants to open his own checking account	checking account, son 16, open checking, 16 wants, wants open
Hello, I'm locked out of my account.	locked account, hello locked, locked
Trying to make a mobile check deposit. It keeps telling me that I need camera permissions. How do I get that	camera permissions, check deposit, make mobile, telling need, trying
checking account	checking account
I need to unlock my debit card	unlock debit, debit card, need unlock, card
i need to change my address	change address, address, need change, change
Would like to talk about my financial situation and need to buy a car	buy car, financial, like talk, situation
Hey, can i update my address on the app or do I have to come in the office?	address app, update address, app come, come office, hey update
How do I go about setting up a CD as a current AIQFinancial customer?	aiqfinancial customer, setting cd, cd current, setting, current
I would like to do a video chat please.	video chat, chat, video, like video, like
Hi there! I need some help. I was charged for two over draft fees at one time. Can you tell me why that happened?	draft fees, help charged, tell happened, time, hi need
Someone else is using my card that is not me	using card, card, using
Hi there! I need some help with…	need help, hi need
Good morning. I just spoke with a rep named Jacob, please confirm if any returned automated payment around 9 sep 29, 2022 for 296.00	payment, returned automated, named jacob, 29 2022, good morning
Hello, I ordered checks 10 days ago and they have not yet been delivered.  Are you able to help me track the shipment?	ordered checks, track shipment, delivered, days ago, able help
i dont see my acct when i log in	acct log, acct, dont acct, log, dont
Hello. I’m trying to find the interest rate on my auto loan and remaining balance	loan remaining, auto loan, rate auto, balance, hello trying
trying to check my accounts but does not recognize my compute	check accounts, recognize compute, check, trying, does
How can I deposit a check using the app?	deposit check, using app, check using, check, using
I set up a payment to M&T bank. M&T is showing the payment but it has not deducted from the checking account yet. When should I expect to see the monies removed from the account?	showing payment, deducted, removed account, expect, set
Hi! I'm looking to change the residential address on my account, but I can't seem to locate how to do so on the app.	residential address, locate app, looking change
I need a copy of my 2022 Interest statement for taxes	statement taxes, copy 2022, need copy, statement
Stop payment	stop payment, payment, stop
needing my business account unlocked	business account, account unlocked, unlocked, needing business, needing
How. Can I deposit a check by picture on the app, my account is set up for it	deposit check, app account, picture app, check picture, set
Hi there! I need some help with…logging into my account	logging account, hi need
i don't know my id to update my password	update password, know id, update, don, don know
How much do you charge for Verification of Deposit?	verification deposit, deposit, charge verification, verification, charge
I am buying a storage shed and I tried to use my debit card today for the amount of over four thousand dollars. It was declined. What do I need to do?	debit card, storage shed, declined need, today thousand, buying
Hello
Need to start an account online for a student.	online student, account online, start account, need start
Zelle?	zelle
Hello I have a question about writing a check	writing check, check, question writing, question, hello question
Hi there! I need some help with…\nI have a question about a charge to my account	charge account, question charge, ni question, hi need
How do I set up E statements for my newly opened savings account?	savings account, statements newly, opened, set
How much to open a checking account	checking account, open checking, open
I am trying to find my current balance on the mobile app	balance mobile, current balance, app, current, trying
Hi there! I need some help with recovering my online user ID and password. I also need to update the bank my auto loan payment comes from.	recovering online, update bank, user id, auto loan
Returns and refund	returns refund, refund, returns
Hi!  When I’m filling out a direct deposit form should I include the three zeroes before my account number?	deposit form, include zeroes, account number, filling direct
I got text message from xxx-xxx-1331	text message, message xxx, 1331, xxx xxx, got
Hello, I have an issue with my account. It shows I have money in the account but whether it’s online or on my card it declines as it would if I don’t have money	account online, card declines, shows money, hello issue, don
Hi there! I need some help with… I deposited my check but it isn't in my account	deposited check, check isn, isn account
I had a cash app deposit yesterday that has not posted	app deposit, deposit yesterday, yesterday posted, app, cash
Hello, I need to update my email address and I do not see a place to do so after I log int my account. DO I need to call?	update email, address, int account, place log
i want to cancel my subscription	cancel subscription, want cancel, cancel, subscription, want
I don’t have the option to deposit a check on my app	deposit check, check app, app, check, don option
Can I deposit a check with the new app?	deposit check, new app, check new, check, new
Wire transfer requirements	wire transfer, transfer requirements, wire, transfer, requirements
I need a new debit card	debit card, new debit, card, need new, new
I’m having trouble depositing a check	depositing check, trouble depositing, check, having trouble, having
How can I get my statement online?	statement online, statement, online
I am closing out my account	closing account, closing
Mobile deposit	mobile deposit, deposit, mobile
How do I deposit check in app?	deposit check, check app, deposit, app, check
I am trying to set up an automatic insurance payment for my mother-in-law.   I have the bank Routing number but need to confirm my account #.  Jerald Brunson Debit card number xxxx xxxx xxxx 3162	card number, automatic insurance, jerald brunson, routing, need confirm
Hi there! I need some help with…	need help, hi need
Hi there! I need some help with…unlocking online account	unlocking online, online, need help
Hi there! I need some help with… stopping payment on my mortgage loan.	stopping payment, mortgage loan, help stopping, hi need
Where do I find my account number	account number, number
I am at an AIQFinancial bank ATM. I wanted to withdraw $500. The screen on the machine is stuck. It's telling me to remove my money, but the slot where the $ comes out isn't opening!	withdraw 500, bank atm, machine stuck, slot comes
Hello! - Question: How can I see the front and back sides of my deposit slips now? I need them!	deposit slips, slips need, sides
I am locked out and need to be reset..Thanks	need reset, reset thanks, locked
y’all are a very good bank	good bank, good
Disputing charge already talk to a gentleman he told me to email my talk I had with a motel	disputing charge, charge talk, talk motel, told email, gentleman
Why is my card off	card
Unlock login	unlock login, unlock, login
Cancel a payment	cancel payment, cancel, payment
How do I make a mobile deposit in the app?	deposit app, mobile deposit, make mobile, app, make
Y can’t I pay a bill for 3500.00 with my debit card	debit card, pay 3500, 00 debit, pay, 00
Hi there! Do you send messages to customers how our banking needs are and to recommend you?	customers banking, messages, hi send, needs recommend
I am locked out of my account.  Can you please unlock it?	locked account, account unlock, locked, unlock
I placed an ATM deposit last night for $132.69 and withdrew $80.00 both from the location on N. Main in Belton.  I am not seeing this on my activity.  I did receive a receipt showing it did going to my account.  I just wanted to verify this withdraw and deposit.	atm deposit, receipt showing, activity did, 132 69, belton seeing
Can you tell me the approx. cost of a $21,370 wire transfer to a company in Canada?	wire transfer, company canada, cost 21, 370, tell approx
Hello I trying to connect my account to Zelle but it says my bank info don’t match. Does AIQFinancial banks allow me to connect with it?	aiqfinancial banks, zelle says, trying connect, don match, info
Make a payment	make payment, payment, make
I locked myself out of my login and having trouble logging back in	locked login, login having, trouble, logging, having
search check number	check number, search check, search, number, check
I work for the Indiana Department of Workforce Development. I'm a fraud Investigator and our agency would like to know where to send subpoenas to?	send subpoenas, indiana department, development fraud, workforce, like know
Hi there! I need some help with… my account is locked!	account locked, help account, hi need
Hi there! I need some help with…	need help, hi need
I’m considering opening an account with your establishment. I’m new	opening account, establishment new, considering opening, new, considering
Why won’t my debit card link to my cash app	cash app, link cash, won debit, card, link
Received multiple security alerts over the weekend about failed attempts to login and I was not logging in. Now I am locked out of my account.	attempts login, multiple security, locked, alerts weekend, received
Lock myself out of personal account	personal account, lock personal, lock, personal
I️ need to increase daily spend limit on business debit card	debit card, limit business, increase daily, spend
I have 2 overdrafts of $35. Each. I don’t have overdraft protection. I don’t want overdraft protection. I was -1.15 and u charge me a $35. Fee?	overdraft protection, fee, protection 15, 35, don want
Account not accepting instant deposit from cash app	deposit cash, cash app, account accepting, accepting instant, app
Where can I find my desposit limit	desposit limit, limit, desposit
My account is locked	account locked, locked
Good morning I was overdrawn yesterday  over $200. Why is it only overdrawn $12 today?	overdrawn yesterday, 12 today, 200, morning, good
How do I make a mobile deposit	mobile deposit, deposit, make mobile, mobile, make
Hi there! I need some help with… I need to reset my password but I don't know my user ID	reset password, know user, id, need help, don
Hi there! I need some help with…making a payment for my auto loan.  Is it possible to do this from the AIQFinancial bank app?	aiqfinancial bank, making payment, auto, help making
I received  a new card however the automated system will not allow me to activate it. I have discussed this with a live representative without any resolution.i keep getting advice to try again	new card, allow activate, advice try, automated, live representative
Thank you it worked	thank worked, worked
Hi! Do You have a direct number for the Trust Department?	trust department, number trust, direct number, number
2 questions--are you still holding to the 6 withdrawals from savings account. Q. How do I make a wire transfer to another bank?  Thanks	transfer bank, holding withdrawals, make wire, questions holding
Hi there! I need some help with…payoff on a loan	payoff loan, help payoff, loan
Hi there! I need some help with…transfer from my account to my mothers	transfer account, mothers, hi need
Does AIQFinancial provide medallion signatures?	medallion signatures, does aiqfinancial, signatures, does, provide
How many numbers are in a checking account number?	account number, checking account, numbers checking, numbers
Hello. My online account is locked up.	account locked, online account, locked, hello online, online
Hi there! I need some help with…sent money via Apple Pay, the receiver is being asked to provide the full social security number for verification confirmation... is this right? Safe?	apple pay, security number, sent money, confirmation right, provide social
I am contemplating selling my car that still has a loan.  based on the value it has positive equity.  What do I need to do to execute a private party sale.	selling car, execute private, positive equity, loan based, party
Tax statement	tax statement, tax, statement
trying to start online banking	online banking, start online, online, start, trying
I have a transaction that I did not approve go through paypal	approve paypal, paypal, transaction, approve, did
Hi there! I need some help with my debit card. I tried to use it and was told it was deactivated. Why?	debit card, told deactivated, tried use
What is the compounding on the 8% CD?	compounding cd, compounding, cd
1098	1098
I am trying to set up download to Quicken.  It says to set up by coming to online service. Can you tell me where?	download quicken, set download, coming online, trying, service tell
What is the max for a mobile deposit check?	mobile deposit, max mobile, max, mobile, check
Looking for a 1098 form for my mortgage	1098 form, looking 1098, mortgage, form, looking
I can't remember my password to get onto my online banking. I want to reset it but I have to have this password to set up a new one	reset password, online banking, set new, remember, want
address change	address change, address, change
